    
Star Data Extractor Tool (Note: This program mocks format of AIP_4_WIN)
     Image: m23_3.5_001.fit
     Stars Found:  2510
     Radius of star diaphragm: 4 and 3
     Sky annulus inner radius: 7
     Sky annulus outer radius: 11
     Threshold factor:  0.000000
      X                Y           Sigma            FWHM         Sky ADU           Star ADU 4         Star ADU 3     
  403.52          941.32            0.00            0.00           739.1            57885.6            49308.2
  568.35          337.37            0.00            0.00           733.0            58406.5            55590.2
  490.16           46.98            0.00            0.00           733.4            59830.0            55156.9
  832.63          613.12            0.00            0.00           733.1            59986.5            57119.6
  738.49          695.38            0.00            0.00           737.6            57365.1            54300.9
  786.22          181.09            0.00            0.00           731.0            57624.7            54773.9
  509.80          179.45            0.00            0.00           730.6            56973.2            53358.4
  808.66          976.31            0.00            0.00           732.4            56689.1            50378.3
  674.40          800.75            0.00            0.00           731.2            54466.6            49731.3
  145.39           67.52            0.00            0.00           750.0            55085.4            47659.5
  267.17          479.98            0.00            0.00           758.9            54022.6            49685.2
  472.54          242.68            0.00            0.00           732.0            50953.9            47346.7
  676.43          569.26            0.00            0.00           733.7            49568.8            46885.7
  574.11           78.71            0.00            0.00           731.6            50817.4            47260.3
  488.89          571.41            0.00            0.00           744.5            48888.2            45495.1
  521.07          626.36            0.00            0.00           736.3            47482.1            44711.2
  652.37          157.29            0.00            0.00           731.1            48797.1            46248.7
  646.15          704.38            0.00            0.00           733.8            47742.4            44015.2
  309.29          389.97            0.00            0.00           761.1            47347.1            43933.9
  486.15          514.74            0.00            0.00           744.5            46170.3            43566.4
  161.29          542.11            0.00            0.00           739.0            46543.5            41406.3
  689.79          769.89            0.00            0.00           731.2            46151.4            43291.9
  403.10          363.33            0.00            0.00           742.8            45086.3            42132.1
  492.31          551.28            0.00            0.00           744.5            43631.9            41303.3
  305.32          445.88            0.00            0.00           761.1            45361.6            41917.7
  895.71          613.85            0.00            0.00           733.1            45679.1            43513.5
  581.14          705.62            0.00            0.00           734.2            44209.0            41277.4
  935.11          683.67            0.00            0.00           730.9            44987.0            42049.7
  713.96          630.90            0.00            0.00           735.5            43839.4            41261.5
  961.14          591.77            0.00            0.00           729.6            44795.2            42282.9
  720.51          486.32            0.00            0.00           739.2            43425.2            40610.7
  723.54          435.26            0.00            0.00           735.8            43986.6            42119.1
  397.51          653.53            0.00            0.00           739.6            42347.8            37558.8
  309.98           44.53            0.00            0.00           739.6            42691.2            37435.7
  992.88          723.93            0.00            0.00           736.4            44072.6            41509.2
  943.34          577.75            0.00            0.00           732.4            42979.8            40983.4
  407.08          450.65            0.00            0.00           754.2            41829.0            38981.9
   73.14          119.13            0.00            0.00           752.1            41930.9            36139.4
  105.32          862.60            0.00            0.00           738.3            42335.9            35629.1
  495.50          672.69            0.00            0.00           735.7            40769.7            38111.3
  456.41          301.59            0.00            0.00           734.7            39536.9            34930.7
   18.77          839.29            0.00            0.00           738.4            39900.5            33671.6
  217.41          645.67            0.00            0.00           740.4            40159.7            35800.7
  432.13          809.89            0.00            0.00           738.5            40085.3            37017.9
  796.63          135.59            0.00            0.00           731.0            40405.6            37766.5
  913.21          550.10            0.00            0.00           728.2            40081.9            38480.6
   46.35          647.15            0.00            0.00           735.9            38819.2            33060.9
  528.30          630.01            0.00            0.00           736.3            38499.6            36618.7
  671.80          444.79            0.00            0.00           736.3            36500.5            33164.8
  674.85          392.43            0.00            0.00           736.3            37908.7            36474.3
  219.57           53.18            0.00            0.00           740.7            36210.3            31549.6
  185.42          624.70            0.00            0.00           743.2            36068.5            30033.5
  234.70          492.86            0.00            0.00           752.7            36104.8            32782.9
  185.43          624.70            0.00            0.00           743.2            36068.5            30033.5
  177.32          328.32            0.00            0.00           746.3            34227.6            29339.1
  354.53          684.82            0.00            0.00           740.6            35840.1            32441.2
  303.38          880.92            0.00            0.00           739.5            36586.9            32328.2
  196.40          574.49            0.00            0.00           742.6            35209.4            31474.1
  438.29          825.44            0.00            0.00           738.5            34696.5            30967.3
  260.18          284.77            0.00            0.00           748.9            34365.8            31467.1
  255.54          670.41            0.00            0.00           740.4            33761.2            29582.9
  644.25          342.77            0.00            0.00           731.7            34715.0            32913.9
  816.05          895.39            0.00            0.00           733.3            35355.2            32417.2
  260.49          284.87            0.00            0.00           748.9            34365.8            31467.1
   53.27          821.92            0.00            0.00           735.2            34851.7            29701.7
  716.50          744.75            0.00            0.00           733.8            34187.0            32067.8
  755.27          324.73            0.00            0.00           732.5            35077.4            33632.8
  429.36          702.29            0.00            0.00           739.6            34409.3            31769.1
  789.98          593.27            0.00            0.00           733.8            34631.0            33264.5
  457.33          252.99            0.00            0.00           732.0            32877.6            30936.4
  671.01          469.83            0.00            0.00           736.7            27045.0            25181.8
   40.84          719.92            0.00            0.00           734.6            31789.5            27201.9
  537.82          238.13            0.00            0.00           729.7            31242.4            29496.8
  773.64          918.55            0.00            0.00           733.3            31123.2            27712.7
  445.28          649.92            0.00            0.00           739.6            30591.5            28555.1
  412.52          771.87            0.00            0.00           738.5            29994.5            26716.0
  822.55          625.69            0.00            0.00           733.8            30375.9            28082.4
  214.05           88.76            0.00            0.00           745.6            29927.6            26322.1
  215.14          552.21            0.00            0.00           742.6            29850.8            27051.8
  980.26          892.84            0.00            0.00           737.9            30813.4            28316.1
  585.91          359.88            0.00            0.00           733.2            30437.5            29018.2
  351.53          972.71            0.00            0.00           741.7            29476.4            25538.4
  220.23          717.20            0.00            0.00           737.6            30080.2            26910.3
  432.12          891.30            0.00            0.00           740.2            27487.3            24045.2
  540.52          565.79            0.00            0.00           739.4            27866.9            26223.8
  961.19           32.32            0.00            0.00           747.3            29418.1            27313.4
  298.71          733.65            0.00            0.00           739.5            28054.4            25107.9
  678.50          191.48            0.00            0.00           731.1            27448.5            25444.7
  275.20          615.41            0.00            0.00           740.4            27636.6            24941.7
  707.03          889.59            0.00            0.00           731.5            28092.4            26090.9
  356.73           49.52            0.00            0.00           740.7            26829.6            23642.2
  484.96          730.48            0.00            0.00           737.0            27085.1            24875.3
  594.03          366.43            0.00            0.00           733.2            25893.3            23090.9
  366.28          999.27            0.00            0.00           741.7            27229.9            23734.9
  924.32           65.93            0.00            0.00           735.9            27133.2            25183.5
  650.98          720.42            0.00            0.00           733.8            25944.4            24360.9
  392.31          493.08            0.00            0.00           754.2            24956.9            22848.5
  231.29          634.39            0.00            0.00           744.9            23969.9            20989.4
  532.31          525.95            0.00            0.00           739.4            25613.9            24434.2
  112.24          323.97            0.00            0.00           748.7            25798.6            22799.7
  595.75          749.41            0.00            0.00           734.2            25364.1            23691.9
  457.04          404.47            0.00            0.00           745.4            25304.0            24086.7
  868.16          101.95            0.00            0.00           732.0            25676.1            24201.2
  880.81          565.73            0.00            0.00           729.7            25205.4            23820.1
  100.41          737.16            0.00            0.00           738.5            23526.3            19797.6
  581.89          446.39            0.00            0.00           735.7            24038.1            23066.3
  100.22          737.10            0.00            0.00           738.5            23526.3            19797.6
  804.95          117.41            0.00            0.00           732.4            21460.1            18580.0
  234.41           23.49            0.00            0.00           740.7            24451.8            21401.3
  804.86          117.57            0.00            0.00           732.4            22928.6            18954.0
  160.91           60.07            0.00            0.00           748.0            24035.2            20862.8
  704.46          736.06            0.00            0.00           733.8            23969.6            22684.6
  224.29          945.16            0.00            0.00           739.2            23006.7            19600.3
  478.20          590.36            0.00            0.00           737.8            22903.6            21554.0
  702.89          270.26            0.00            0.00           732.0            22761.2            21786.3
  519.45          715.53            0.00            0.00           731.4            22225.5            20409.6
  987.31          831.58            0.00            0.00           736.2            24179.5            22198.6
  879.23          431.47            0.00            0.00           732.5            22890.9            22032.4
  817.11          269.54            0.00            0.00           730.4            22675.1            21592.6
  849.24          852.43            0.00            0.00           735.5            23026.1            21730.7
   78.97          377.58            0.00            0.00           748.7            21629.4            18294.9
  686.87          850.57            0.00            0.00           729.1            22424.9            20933.6
  517.25          230.12            0.00            0.00           729.7            22609.0            21228.1
  273.53          457.51            0.00            0.00           758.9            21117.7            17698.2
  664.71          237.62            0.00            0.00           731.7            21658.8            20425.3
  583.60          470.11            0.00            0.00           735.9            21125.7            19788.7
  426.89          431.40            0.00            0.00           757.6            20961.5            19870.2
  771.41          330.40            0.00            0.00           731.4            20255.9            19258.8
  897.75          360.42            0.00            0.00           732.9            20781.8            19803.1
  322.54          690.87            0.00            0.00           740.6            20123.2            18249.4
  667.78          344.58            0.00            0.00           731.7            19999.3            18922.5
  277.35          101.16            0.00            0.00           741.2            20781.3            18768.3
  579.39          239.53            0.00            0.00           730.1            20015.7            18401.1
  661.24          104.59            0.00            0.00           730.7            20445.8            19323.8
  334.52          902.42            0.00            0.00           740.3            19996.7            17474.4
  825.46          105.47            0.00            0.00           732.4            20920.4            19449.5
  334.54          902.40            0.00            0.00           740.3            19996.7            17474.4
  874.35          489.98            0.00            0.00           729.3            20817.2            20165.1
  344.61          611.43            0.00            0.00           743.5            21092.2            19465.8
  769.67          832.12            0.00            0.00           733.3            20491.2            19203.2
  444.34          301.04            0.00            0.00           735.8            20073.7            18631.0
  354.50          605.61            0.00            0.00           743.5            19381.0            17084.9
  359.49          487.93            0.00            0.00           760.9            19653.1            18367.0
  556.79          271.43            0.00            0.00           730.8            18888.5            17290.5
  507.49          233.10            0.00            0.00           732.0            20500.1            19454.0
  466.98          488.57            0.00            0.00           748.5            19233.3            18012.3
  463.51          428.23            0.00            0.00           745.4            19118.1            17783.7
